country,year,combined_box_office
Kenya,2017,0
Kenya,2018,0
Kenya,2019,0
Kenya,2020,0
Kenya,2021,3206
Latvia,2015,48684657
Latvia,2016,17599401
Latvia,2017,17818828
Latvia,2018,15923644
Latvia,2019,13052994
Latvia,2020,2962284
Latvia,2021,4806235
Lebanon,2015,8947299
Lebanon,2016,3905302
Lebanon,2017,5224071
Lebanon,2018,5904535
Lebanon,2019,5438318
Lebanon,2020,3043505
Lebanon,2021,2522339
Lithuania,2015,0
Lithuania,2016,0
Lithuania,2017,0
Lithuania,2018,0
Lithuania,2019,0
Lithuania,2020,1258
Lithuania,2021,9243
Netherlands,2015,8698718
Netherlands,2016,3024607
Netherlands,2017,3967802
Netherlands,2018,3659406
Netherlands,2019,3763986
Netherlands,2020,1559571
Netherlands,2021,422524
New Zealand,2015,47141
New Zealand,2016,11740
New Zealand,2017,0
New Zealand,2018,0
New Zealand,2019,0
New Zealand,2020,6134
New Zealand,2021,0
Nigeria,2015,50732029
Nigeria,2016,62165017
Nigeria,2017,65285220
Nigeria,2018,31250646
Nigeria,2019,35337678
Nigeria,2020,8557018
Nigeria,2021,7064457
Norway,2015,78300
Norway,2016,8650
Norway,2017,19099
Norway,2018,95186
Norway,2019,63305
Norway,2020,0
Norway,2021,0
Oman,2015,44154845
Oman,2016,29807456
Oman,2017,43747785
Oman,2018,42311783
Oman,2019,37975113
Oman,2020,4125224
Oman,2021,992636
Pakistan,2015,0
Pakistan,2016,0
Pakistan,2017,0
Pakistan,2018,0
Pakistan,2019,0
Pakistan,2020,0
Pakistan,2021,11485
Peru,2015,0
Peru,2016,0
Peru,2017,144045
Peru,2018,226352
Peru,2019,319488
Peru,2020,7245
Peru,2021,6665
Philippines,2015,191821134
Philippines,2016,106953789
Philippines,2017,107875832
Philippines,2018,20773920
Philippines,2019,32435713
Philippines,2020,39503011
Philippines,2021,131415042
Poland,2015,34879142
Poland,2016,40983528
Poland,2017,56408273
Poland,2018,57571649
Poland,2019,54282346
Poland,2020,15319202
Poland,2021,21829025
Portugal,2015,6984210
Portugal,2016,8420011
Portugal,2017,9052584
Portugal,2018,9701627
Portugal,2019,7628706
Portugal,2020,2910345
Portugal,2021,5079453
Qatar,2015,238093026
Qatar,2016,121885698
Qatar,2017,210278308
Qatar,2018,237091232
Qatar,2019,274012205
Qatar,2020,45969971
Qatar,2021,76409787
Romania,2015,0
Romania,2016,33391991
Romania,2017,134748802
Romania,2018,141715032
Romania,2019,160935891
Romania,2020,20025896
Romania,2021,17266240
Russia,2015,0
Russia,2016,0
Russia,2017,0
Russia,2018,0
Russia,2019,0
Russia,2020,14455
Russia,2021,46063
Saudi Arabia,2015,55141751
Saudi Arabia,2016,32254520
Saudi Arabia,2017,41539878
Saudi Arabia,2018,30058698
Saudi Arabia,2019,24963752
Saudi Arabia,2020,6053404
Saudi Arabia,2021,5898781
Singapore,2015,532964720
Singapore,2016,478078883
Singapore,2017,441528999
Singapore,2018,450479820
Singapore,2019,467278409
Singapore,2020,114054086
Singapore,2021,136426686
Slovakia,2015,0
Slovakia,2016,0
Slovakia,2017,185290
Slovakia,2018,699867
Slovakia,2019,675217
Slovakia,2020,527850
Slovakia,2021,0
Slovenia,2015,6513564
Slovenia,2016,134813
Slovenia,2017,574375
Slovenia,2018,1544279
Slovenia,2019,1018348
Slovenia,2020,603270
Slovenia,2021,204704
South Korea,2015,2501979
South Korea,2016,257421
South Korea,2017,76167
South Korea,2018,435538
South Korea,2019,464090
South Korea,2020,292974
South Korea,2021,0
Spain,2015,0
Spain,2016,0
Spain,2017,0
Spain,2018,0
Spain,2019,5054435
Spain,2020,3183304
Spain,2021,1424086
Sweden,2015,0
Sweden,2016,0
Sweden,2017,0
Sweden,2018,0
Sweden,2019,0
Sweden,2020,4565
Sweden,2021,0
Switzerland,2015,6123682
Switzerland,2016,1914106
Switzerland,2017,2924768
Switzerland,2018,2613114
Switzerland,2019,2838677
Switzerland,2020,691761
Switzerland,2021,137440
Thailand,2015,20865991
Thailand,2016,7038281
Thailand,2017,6957175
Thailand,2018,6037582
Thailand,2019,3319593
Thailand,2020,1133478
Thailand,2021,80843
Turkey,2015,9685744
Turkey,2016,12057705
Turkey,2017,13325284
Turkey,2018,15436653
Turkey,2019,15351520
Turkey,2020,6022306
Turkey,2021,5656060
United Arab Emirates,2015,0
United Arab Emirates,2016,0
United Arab Emirates,2017,0
United Arab Emirates,2018,0
United Arab Emirates,2019,0
United Arab Emirates,2020,5820
United Arab Emirates,2021,0
Uruguay,2015,0
Uruguay,2016,0
Uruguay,2017,162318
Uruguay,2018,1110528
Uruguay,2019,921410
Uruguay,2020,158326
Uruguay,2021,42000
Vietnam,2015,200779897
Vietnam,2016,192303453
Vietnam,2017,212411774
Vietnam,2018,228762368
Vietnam,2019,254454116
Vietnam,2020,94904267
Vietnam,2021,102586524
Canada,2015,95328376
Canada,2016,99083919
Canada,2017,89545006
Canada,2018,82078145
Canada,2019,89240803
Canada,2020,32681373
Canada,2021,48334142
,2015,0
,2016,0
,2017,130863
,2018,83566
,2019,132813
,2020,9343
,2021,5240
,2015,1963884
,2016,145839
,2017,196615
,2018,555762
,2019,1629116
,2020,523567
,2021,0
,2015,0
,2016,0
,2017,0
,2018,0
,2019,0
,2020,630
,2021,97
,2015,38950764
,2016,97290733
,2017,88461469
,2018,97229580
,2019,85325668
,2020,34430328
,2021,17120197
,2015,6561790
,2016,2116177
,2017,560296
,2018,1883154
,2019,1786905
,2020,888992
,2021,58103
,2015,0
,2016,293582
,2017,3215270
,2018,1951588
,2019,2104966
,2020,604188
,2021,2564
,2015,0
,2016,0
,2017,0
,2018,0
,2019,0
,2020,0
,2021,0
,2015,0
,2016,4569738
,2017,22366160
,2018,4657243
,2019,2229618
,2020,43145
,2021,363031
,2015,0
,2016,1063547
,2017,6910700
,2018,7153217
,2019,7015213
,2020,635143
,2021,145693
,2015,103980360
,2016,43844794
,2017,53597719
,2018,37103856
,2019,27071010
,2020,8697948
,2021,4723360
,2015,134588495
,2016,64250985
,2017,92460646
,2018,100385188
,2019,126541659
,2020,7433346
,2021,1141695
,2015,83634859
,2016,112480205
,2017,159847947
,2018,169927779
,2019,155515406
,2020,48371588
,2021,35273571
,2015,58216472
,2016,57083797
,2017,64600137
,2018,60878776
,2019,63936205
,2020,15362359
,2021,23369654
,2015,0
,2016,0
,2017,0
,2018,0
,2019,0
,2020,0
,2021,0
,2015,7071504
,2016,1759008
,2017,1485913
,2018,5434504
,2019,4237874
,2020,1845528
,2021,183932
,2015,23301176
,2016,40373878
,2017,44429644
,2018,45029716
,2019,39580073
,2020,11311345
,2021,16670926
,2015,0
,2016,0
,2017,0
,2018,0
,2019,2128313
,2020,0
,2021,0
,2015,0
,2016,0
,2017,0
,2018,0
,2019,0
,2020,6653796
,2021,20253566
,2015,128495367
,2016,76682400
,2017,68423261
,2018,65599574
,2019,67439027
,2020,7544246
,2021,17739867
,2015,18527946
,2016,22892560
,2017,27119408
,2018,25479237
,2019,26884255
,2020,10444023
,2021,9887233
,2015,5215611
,2016,7543027
,2017,7421192
,2018,9834580
,2019,9648938
,2020,2204412
,2021,3115169
,2015,769728873
,2016,942599715
,2017,974687715
,2018,1038150281
,2019,1034429832
,2020,200276177
,2021,309696436
,2015,411437370
,2016,424722392
,2017,418139021
,2018,431979445
,2019,429418601
,2020,85627759
,2021,128651785
,2015,0
,2016,0
,2017,0
,2018,0
,2019,4965
,2020,8430
,2021,2604
,2015,102609697
,2016,83411974
,2017,83724416
,2018,77628865
,2019,75974145
,2020,17923339
,2021,17765570
,2015,695691
,2016,38723522
,2017,80483043
,2018,66855310
,2019,76346957
,2020,16584908
,2021,14780529
,2015,182367625
,2016,109788808
,2017,140643023
,2018,124456585
,2019,121790309
,2020,25251452
,2021,33494233
,2015,90978166
,2016,92170850
,2017,91935763
,2018,64722483
,2019,79885929
,2020,10138984
,2021,9419799
,2015,0
,2016,0
,2017,5703066
,2018,5920628
,2019,4416100
,2020,1697136
,2021,4652
,2015,141359307
,2016,140864333
,2017,139031841
,2018,114737222
,2019,104258955
,2020,27497944
,2021,13924628
,2015,99189237
,2016,152450692
,2017,179650648
,2018,151805422
,2019,163098984
,2020,37470948
,2021,68259796
,2015,13307309
,2016,8363250
,2017,14133093
,2018,13995054
,2019,12222762
,2020,1305630
,2021,125630
,2015,38589701
,2016,17857837
,2017,20828841
,2018,17247415
,2019,79959613
,2020,36514007
,2021,27233327
,2015,0
,2016,0
,2017,0
,2018,0
,2019,0
,2020,348
,2021,3233
